idx,spf,ppd,upc,uppcc,apt,deg
533,0.58,1.35,0.76,0.85,0.43,120.67
535,0.64,1.71,0.56,0.72,0.2,128.55
537,0.0,1.0,0.72,0.77,0.61,118.0
540,0.0,1.0,0.57,0.79,0.14,2.0
541,0.0,1.0,0.8,0.82,0.68,99.0
542,0.0,1.0,0.35,0.52,0.11,2.0
543,0.75,1.88,0.64,0.84,0.31,182.88
544,0.68,1.9,0.62,0.81,0.29,64.14
545,0.71,1.76,0.59,0.74,0.18,258.3
549,0.49,1.35,0.55,0.7,0.17,30.62
550,0.67,1.64,0.59,0.74,0.2,111.16
552,0.33,1.16,0.7,0.77,0.38,93.67
556,0.67,1.82,0.53,0.73,0.19,19.21
558,0.61,1.59,0.7,0.85,0.3,107.81
559,0.0,1.0,0.41,0.54,0.13,10.0
560,0.5,1.21,0.65,0.69,0.29,20.46
565,0.72,1.75,0.65,0.85,0.33,62.57
566,0.73,1.75,0.71,0.88,0.31,105.14
567,0.0,1.0,0.65,0.73,0.07,3.0
568,0.84,2.05,0.62,0.85,0.21,40.0
569,0.81,1.86,0.63,0.83,0.25,49.85
570,0.3,1.12,0.75,0.81,0.44,54.33
572,0.61,1.39,0.68,0.79,0.21,115.25
573,0.01,1.0,0.76,0.78,0.56,249.5
575,0.0,1.0,0.72,0.88,0.08,13.0
576,0.63,1.38,0.79,0.89,0.44,84.0
578,0.65,1.46,0.71,0.84,0.34,45.71
579,0.5,1.32,0.8,0.87,0.38,26.0
580,0.0,1.0,0.45,0.65,0.29,2.0
581,0.66,1.64,0.57,0.72,0.21,143.29
583,0.0,1.0,0.51,0.54,0.15,2.0
584,0.61,1.62,0.69,0.84,0.32,85.67
586,0.72,1.4,0.75,0.86,0.36,112.67
587,0.31,1.21,0.52,0.67,0.28,240.12
588,0.0,1.0,0.42,0.48,0.12,3.0
590,0.0,1.0,0.55,0.62,0.32,32.0
591,0.59,1.67,0.63,0.77,0.26,96.57
592,0.69,1.4,0.73,0.82,0.29,56.75
595,0.0,1.0,0.5,0.64,0.08,3.0
596,0.52,1.44,0.55,0.7,0.22,236.25
599,0.8,1.86,0.66,0.84,0.27,91.0
